아이디,ori_아이디,전국,광주,전국구,광주구,광주 광산구,광주 남구,광주 동구,광주 북구,광주 서구,아동,청소년,청년,중장년,노년,학생,무직,창업,농어업인,중소기업,일반,자녀여부 있음,자녀여부 없음,무주택자,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,저소득,한부모/조손,신용불량자,독거노인,취약계층,해당없음,일자리,주거,일상생활,신체건강 및 보건의료,정신건강 및 심리정서,사업목적해당없음,안전 및 권익보장,문화 및 여가,보육 및 교육,보호 및 돌봄/요양
11,11,전국,광주광역시,전국구,@,@,남구,@,@,@,@,@,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,다문화/탈북민,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
12,12,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,@,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,다자녀,@,@,저소득층,한부모/조손,@,@,@,@,일자리,@,@,@,@,@,@,@,@,@
13,13,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,@,@,@,@,학생,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,저소득층,@,@,@,@,@,일자리,@,@,@,@,@,@,@,@,보호/돌봄/요양
14,14,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,청소년,청년,중장년,노년,@,무직,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,@,@,@,취약계층,@,@,주거,@,@,@,@,@,@,@,보호/돌봄/요양
15,15,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,자녀있음,@,@,@,@,@,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
16,16,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
17,17,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,@,@,@,@,@,@,@,@,@,일반,자녀있음,@,@,@,@,@,@,@,@,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
18,18,전국,광주광역시,전국구,@,@,@,동구,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,독거노인,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
19,19,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,@,@,@,장애인,@,@,@,@,취약계층,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
20,20,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
21,21,전국,광주광역시,전국구,@,@,@,동구,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,다문화/탈북민,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
22,22,전국,광주광역시,전국구,@,@,@,@,북구,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
23,23,전국,광주광역시,전국구,@,@,@,@,북구,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
24,24,전국,광주광역시,전국구,@,@,@,@,북구,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
25,25,전국,광주광역시,전국구,@,@,@,@,북구,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
26,26,전국,광주광역시,전국구,@,@,@,@,북구,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
27,27,전국,광주광역시,전국구,@,@,@,@,북구,@,아동,@,@,@,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
28,28,전국,광주광역시,전국구,@,@,@,@,북구,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,무주택자,@,@,@,@,@,장애인,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
29,29,전국,광주광역시,전국구,@,@,@,@,북구,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,무주택자,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
30,30,전국,광주광역시,전국구,@,@,@,@,@,서구,@,@,@,중장년,노년,@,@,@,@,@,일반,자녀있음,@,@,@,@,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
31,31,전국,광주광역시,전국구,@,@,@,@,@,서구,@,@,청년,@,@,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
32,32,전국,광주광역시,전국구,@,@,@,@,@,서구,@,@,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
33,33,전국,광주광역시,전국구,@,@,@,@,@,서구,@,@,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,저소득층,@,@,@,취약계층,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
34,34,전국,광주광역시,전국구,@,@,@,@,@,서구,아동,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,한부모/조손,@,@,@,@,일자리,@,@,@,@,@,@,@,@,@
35,35,전국,광주광역시,전국구,@,@,@,@,@,서구,@,@,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,저소득층,@,@,독거노인,취약계층,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
36,36,전국,광주광역시,전국구,@,@,@,@,@,서구,@,@,청년,@,@,@,@,@,@,@,일반,자녀있음,@,@,@,@,@,@,@,장애인,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
37,37,전국,광주광역시,전국구,@,@,@,@,@,서구,@,@,청년,@,@,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,다자녀,@,@,저소득층,한부모/조손,@,@,취약계층,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
38,38,전국,광주광역시,전국구,전체,@,@,@,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,저소득층,@,@,독거노인,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
39,39,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,@,@,@,@,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
40,40,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,@,@,@,@,@,@,@,@,@,일반,자녀있음,@,@,임산부,@,@,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
41,41,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,한부모/조손,@,@,@,@,일자리,@,@,@,@,@,@,@,@,@
42,42,전국,광주광역시,전국구,전체,@,@,@,@,@,@,@,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
43,43,전국,광주광역시,전국구,전체,@,@,@,@,@,@,@,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
44,44,전국,광주광역시,전국구,전체,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
45,45,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,@,@,@,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
46,46,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
47,47,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
48,48,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
49,49,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,@,@,@,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,한부모/조손,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
50,50,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
51,51,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
52,52,전국,광주광역시,전국구,전체,@,@,@,@,@,@,@,@,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,저소득층,@,@,독거노인,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
53,53,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
54,54,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,@,@,@,학생,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,한부모/조손,@,@,@,해당없음,일자리,@,@,@,@,@,@,@,@,보호/돌봄/요양
55,55,전국,광주광역시,전국구,전체,@,@,@,@,@,@,@,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,저소득층,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
56,56,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,@,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
57,57,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
58,58,전국,광주광역시,전국구,전체,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,@,@,@,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,@,@,@,@,해당없음,일자리,주거,@,@,@,@,@,@,@,@
59,59,전국,광주광역시,전국구,전체,@,@,@,@,@,@,@,@,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,@,@,@,@,독거노인,@,해당없음,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
60,60,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
61,61,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,저소득층,한부모/조손,@,독거노인,취약계층,@,@,@,@,@,@,@,@,@,@,보호/돌봄/요양
62,62,전국,광주광역시,전국구,전체,@,@,@,@,@,@,@,청년,중장년,노년,@,@,창업,농어업인,중소기업,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,@,@,@,@,@,@,@,@,일상생활,신체건강/보건의료,정신건강/심리정서,@,@,@,@,보호/돌봄/요양
63,63,전국,광주광역시,전국구,전체,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,@,중소기업,일반,@,자녀없음/상관없음,@,@,@,@,@,@,장애인,저소득층,@,@,@,취약계층,@,일자리,주거,@,@,정신건강/심리정서,@,@,@,@,보호/돌봄/요양
